mean_test_score	mean_train_score	param_max_depth	param_min_samples_leaf	std_test_score	std_train_score
0.5864252061248527	0.5992424242424242	1	1	0.007977748636127257	0.005350169277206676
0.589075382803298	0.6080176767676768	1	5	0.006145063826475028	0.00603160147095767
0.5901060070671378	0.6057449494949495	1	10	0.0028625179763285802	0.0036670544776408434
0.5923144876325088	0.6080808080808081	1	15	0.0054575244384130655	0.00290266765974055
0.5864252061248527	0.6072601010101011	1	20	0.007854522183951208	0.003567896755289101
0.5837750294464076	0.6083333333333334	1	25	0.002706828078747065	0.0014172944646871056
0.5893698468786808	0.6080176767676768	1	30	0.006826868739322511	0.00865198466179289
0.589075382803298	0.6054292929292929	1	35	0.006807790354356236	0.00309407847344516
0.5868669022379269	0.6094065656565656	1	40	0.009018488121975022	8.928115924074917e-05
0.6217608951707891	0.736489898989899	5	1	0.006145063826475022	0.003712421825249766
0.6236749116607774	0.7301767676767676	5	5	0.00451884842556623	0.008109855463396343
0.6207302709069493	0.7238636363636365	5	10	0.0036837444061239375	0.007398494312357791
0.6202885747938751	0.7191919191919193	5	15	0.0017790114802112278	0.00540427640379616
0.6214664310954063	0.7162247474747474	5	20	0.006852223956548949	0.006320071942326901
0.6192579505300353	0.7089646464646465	5	25	0.006620532142496202	0.0063276348552150806
0.6208775029446407	0.7105429292929294	5	30	0.009302455240831179	0.0044854342596797
0.616902237926973	0.7046717171717171	5	35	0.0021131772812731267	0.0036111994055745074
0.6188162544169611	0.7004419191919191	5	40	0.0031440159752742078	0.006848510920363981
0.6500294464075382	0.9643308080808081	10	1	0.005425655410096658	0.0016535102088016322
0.650323910482921	0.9428030303030303	10	5	0.0032524620191952828	0.002531557784818587
0.6428150765606596	0.9150883838383838	10	10	0.002318612448177817	0.002561295804936958
0.6417844522968198	0.8885732323232324	10	15	0.0009541726587761935	0.004696392654898283
0.6411955241460542	0.8681186868686869	10	20	0.0043477099706223515	0.0012968837490008678
0.6341283863368669	0.8466540404040405	10	25	0.0013653737478645125	0.0043473599244158515
0.6282391048292109	0.8284722222222222	10	30	0.0038898247389938163	0.003207915660583986
0.6319199057714959	0.811679292929293	10	35	0.007088576629688292	0.0045252426609741015
0.6292697290930507	0.79614898989899	10	40	0.00410140997561369	0.005180615716901213
0.6548881036513545	0.9996212121212121	15	1	0.007224878767011365	0.0001546395039635798
0.6575382803297998	0.9951388888888889	15	5	0.004637224896355634	0.00023621574411452915
0.6475265017667845	0.9747474747474748	15	10	0.005312608525520809	0.0013151936020201834
0.6512073027090695	0.9429292929292931	15	15	0.004021348729018741	0.00035712463696294436
0.6413427561837456	0.9075126262626263	15	20	0.002600636297505274	0.003712421825249794
0.6385453474676089	0.8803030303030303	15	25	0.0032723955787533903	0.002682895121322725
0.6326560659599529	0.8530934343434344	15	30	0.004179938034917057	0.0005854557130994746
0.627944640753828	0.8286616161616162	15	35	0.0007507390332144907	0.0016679096986897722
0.6350117785630153	0.8117424242424244	15	40	0.002454848645543704	0.0029381505753081068
0.6588633686690224	1.0	20	1	0.006672714483877886	0.0
0.6548881036513545	0.9991161616161616	20	5	0.005637276124580866	0.0003219077975752996
0.6528268551236749	0.9828914141414141	20	10	0.003816690635104723	0.0007783351013849482
0.644434628975265	0.9503156565656566	20	15	0.005725035952657127	0.0011606550701294231
0.6420789163722026	0.9143939393939394	20	20	0.004179938034917106	0.001491289370077992
