mean_test_score	mean_train_score	param_max_depth	param_min_samples_leaf	std_test_score	std_train_score
0.6290749796251018	0.6271837875611461	1	1	0.006508815340245837	0.0025188453625604856
0.6212306438467807	0.6224231306778477	1	5	0.006225189941912073	0.001941484169365188
0.6260187449062755	0.6229909154437457	1	10	0.00449403932357634	0.0016994301588350478
0.6248981255093724	0.6231656184486374	1	15	0.008068048033098376	0.0017513921781763873
0.6260187449062755	0.6252183787561146	1	20	0.0041180486820308875	0.0041328432013220074
0.6262224938875306	0.6248252969951084	1	25	0.004414822469441837	0.0043024494605257545
0.6251018744906276	0.6272711390635919	1	30	0.006422134275661974	0.0007590036336907354
0.6263243683781581	0.6240828092243187	1	35	0.005353986692530963	0.0013907829601756368
0.6203137734311328	0.6246505939902166	1	40	0.005912232326221224	0.003370115605146862
0.6586185819070904	0.7017819706498952	5	1	0.0092935000585171	0.005227971001902519
0.6602485737571312	0.6992924528301886	5	5	0.009039890200276707	0.0039583822712691095
0.6604523227383863	0.6966282320055904	5	10	0.008658732420894776	0.003831038130605959
0.6559698451507743	0.6965845562543675	5	15	0.008645537697341934	0.004564481694195958
0.6569885900570497	0.6938329839273236	5	20	0.010304945897638005	0.002151224730262896
0.6569885900570497	0.6931778476589798	5	25	0.012611880901331678	0.002195982720121697
0.6584148329258354	0.6918675751222921	5	30	0.010428087037709217	0.0023349172614646166
0.6541361043194784	0.6889849755415792	5	35	0.010389200312943742	0.0015880205243446687
0.6539323553382234	0.6868448637316562	5	40	0.00763990760360746	0.00454269806691816
0.6929502852485737	0.9234364081062195	10	1	0.008389659653591388	0.002330010249536905
0.6916259168704156	0.894392033542977	10	5	0.009482539754050641	0.003803553643794034
0.6885696821515892	0.8642557651991614	10	10	0.011839376263952522	0.0027753869436263575
0.6842909535452323	0.8383123689727463	10	15	0.007843674227758828	0.0022107006874290407
0.6849022004889975	0.8172606568832984	10	20	0.011470723835722278	0.0022037868294099735
0.6788916055419723	0.7964709993011879	10	25	0.009368022764932883	0.001990962844172186
0.6762428687856561	0.7824074074074074	10	30	0.00916983602539984	0.0035888606890590795
0.6716585167074165	0.7696977638015374	10	35	0.008330069721580948	0.0016376950785510652
0.6736960065199674	0.7584294199860238	10	40	0.010705065321806737	0.0017912383520623468
0.7057864710676447	0.9951519916142558	15	1	0.006613216123519732	0.00018530051917885809
0.7047677261613692	0.977856394129979	15	5	0.008868348489331877	0.0011169384916618241
0.6952933985330073	0.9349231306778477	15	10	0.010456909063045092	0.001183282423492674
0.6954971475142624	0.8914657582110412	15	15	0.008006064671714946	0.003034129006456741
0.6907090464547677	0.8516771488469601	15	20	0.010851426668585958	0.00449711800359812
0.6797066014669927	0.822545422781272	15	25	0.010130238707951144	0.003134324793502673
0.6842909535452323	0.801450034940601	15	30	0.008582888048013673	0.0035840737664096273
0.6746128769356153	0.7812718378756115	15	35	0.006743752715336309	0.00325611439895453
0.6729828850855746	0.7672082459818309	15	40	0.011106655803509646	0.0024073224632285882
0.710880195599022	0.9998689727463312	20	1	0.0062981179772102	0.00010698330462889111
0.7037489812550938	0.9902603074772887	20	5	0.007737097614526301	0.0006448647388291787
0.6979421352893236	0.943570929419986	20	10	0.010472776915970988	0.0010168105107287214
0.6927465362673186	0.8953529000698811	20	15	0.01360014911034318	0.0036316590681319807
0.6860228198859005	0.8543850454227813	20	20	0.010529111799269956	0.0021512247302628586
0.6830684596577017	0.8225454227812717	20	25	0.006714448676969866	0.0029344124794271186
0.6770578647106764	0.8010569531795947	20	30	0.009237494365551473	0.00419878237650403
0.6742053789731052	0.7819269741439553	20	35	0.0083063639407659	0.001623657433214623
0.6724735126324368	0.7680380852550664	20	40	0.008389659653591388	0.002078158150483998
0.7079258353708231	1.0	25	1	0.008352465767224832	0.0
0.7061939690301549	0.9912648497554158	25	5	0.010687600325512144	0.0013756128361306476
0.697840260798696	0.9439203354297693	25	10	0.009234123222188003	0.0008756960890881687
0.6907090464547677	0.8950034940600977	25	15	0.008272559922845061	0.002086403024545084
0.685717196414018	0.856219426974144	25	20	0.011795464769790986	0.0035163726778249726
0.6853096984515077	0.8238993710691824	25	25	0.011199709170588287	0.006446576389146181
0.6802159739201304	0.7991788958770091	25	30	0.011299346107776921	0.0022551241515418262
0.6761409942950285	0.785421034241789	25	35	0.007939677167236661	0.0029693087232326556
0.6704360228198859	0.7676450034940601	25	40	0.013017630680491672	0.0012941590138040805
0.71179706601467	1.0	30	1	0.012171337256564732	0.0
0.7069070904645477	0.9918326345213138	30	5	0.007795895056931133	0.0013290639460781792
0.7004889975550123	0.9437456324248776	30	10	0.0083063639407659	0.0025526972739696742
0.6942746536267319	0.8929070580013976	30	15	0.011318618102959373	0.00198808642151309
0.6861246943765281	0.8558263452131376	30	20	0.010622339362458913	0.003866722567940508
0.6831703341483293	0.8264325646401117	30	25	0.0062750055397043794	0.001192915817937436
0.67940097799511	0.7996156533892383	30	30	0.011600279648590681	0.003052931886320963
0.6759372453137734	0.7843728162124389	30	35	0.010241300213416592	0.002124456063419879
0.6708435207823961	0.7696104122990916	30	40	0.009482539754050622	0.0027198458205695704
0.7159739201303994	1.0	35	1	0.007445903306691756	0.0
0.7063977180114099	0.9919636617749825	35	5	0.007164609198254789	0.0006448647388292263
0.7001833740831296	0.9449248777078965	35	10	0.010421118054233404	0.002412072199770109
0.6912184189079055	0.8952655485674353	35	15	0.011244101255434251	0.0017393699992784533
0.686837815810921	0.8563067784765899	35	20	0.01128831876672336	0.004095285873421042
0.6830684596577017	0.8234626135569533	35	25	0.010093289385901245	0.0019027796043668574
0.677159739201304	0.8010569531795947	35	30	0.006358796468755996	0.0030734821952758816
0.6770578647106764	0.7819706498951783	35	35	0.00987604751295611	0.0018744989285355703
0.6741035044824776	0.7663347309573725	35	40	0.013048686702394481	0.001872462535833883
0.7146495517522412	1.0	40	1	0.0027487240348883354	0.0
0.7061939690301549	0.9914395527603075	40	5	0.006646090639894081	0.0008647357561680454
0.7015077424612877	0.9448812019566736	40	10	0.007361797785305483	0.0019620088613920327
0.6898940505297474	0.8948287910552061	40	15	0.009733146627951217	0.0033394103517846566
0.6873471882640587	0.8529437456324249	40	20	0.011413580745037418	0.003437367639753824
0.6834759576202118	0.8249912648497554	40	25	0.013535896077997323	0.0025683421432545635
0.674918500407498	0.8001834381551363	40	30	0.011813927477036839	0.002139666092577913
0.6734922575387123	0.7821453529000699	40	35	0.010664269170906033	0.0016341969718614263
0.6727791361043195	0.7658542976939203	40	40	0.010389200312943742	0.0007714675809161018
