mean_test_score	mean_train_score	param_max_depth	param_min_samples_leaf	std_test_score	std_train_score	tp_tests_mean	tp_trains_mean	fp_tests_mean	fp_trains_mean	tp_tests_split_0	tp_tests_split_1	tp_tests_split_2	tp_trains_split_0	tp_trains_split_1	tp_trains_split_2	fp_tests_split_0	fp_tests_split_1	fp_tests_split_2	fp_trains_split_0	fp_trains_split_1	fp_trains_split_2
0.17903415783274437	0.210479797979798	1	1	0.006662961424608256	0.004377509046302957	0.5809776207302709	0.6065656565656566	0.4019434628975265	0.3960858585858586	0.5556537102473498	0.5865724381625441	0.6007067137809188	0.5950757575757576	0.6109848484848485	0.6136363636363636	0.38604240282685515	0.4028268551236749	0.4169611307420495	0.3784090909090909	0.4034090909090909	0.40643939393939393
0.17550058892815076	0.20744949494949494	1	5	0.01159306224088899	0.00047243148822900393	0.5680212014134276	0.5940656565656566	0.39252061248527675	0.38661616161616164	0.5627208480565371	0.5777385159010601	0.5636042402826855	0.5905303030303031	0.5943181818181819	0.5973484848484848	0.3931095406360424	0.38604240282685515	0.39840989399293286	0.38295454545454544	0.3875	0.3893939393939394
0.19228504122497056	0.22563131313131315	1	10	0.016484729095734296	0.009331482937829262	0.6195524146054181	0.6482323232323233	0.42726737338044757	0.4226010101010101	0.6219081272084805	0.6590106007067138	0.5777385159010601	0.6545454545454545	0.678409090909091	0.6117424242424242	0.44257950530035334	0.44346289752650175	0.3957597173144876	0.4212121212121212	0.44734848484848483	0.39924242424242423
0.17903415783274443	0.21717171717171715	1	15	0.012416471520793896	0.01387395891760321	0.582449941107185	0.6151515151515151	0.4034157832744405	0.39797979797979793	0.5848056537102474	0.598939929328622	0.5636042402826855	0.6193181818181818	0.631439393939394	0.5946969696969697	0.4107773851590106	0.4028268551236749	0.39664310954063603	0.3946969696969697	0.4022727272727273	0.396969696969697
0.176678445229682	0.20997474747474745	1	20	0.016636568777179662	0.02344272316217207	0.576266195524146	0.6027777777777777	0.3995877502944641	0.39280303030303027	0.5680212014134276	0.6104240282685512	0.5503533568904594	0.6117424242424242	0.634469696969697	0.5621212121212121	0.39840989399293286	0.4107773851590106	0.38957597173144876	0.396969696969697	0.3984848484848485	0.38295454545454544
0.1702002355712603	0.20643939393939395	1	25	0.014805424134247966	0.014738694286624004	0.5721436984687868	0.594949494949495	0.4019434628975265	0.388510101010101	0.5777385159010601	0.5750883392226148	0.5636042402826855	0.5962121212121212	0.6053030303030303	0.5833333333333334	0.392226148409894	0.4001766784452297	0.4134275618374558	0.37992424242424244	0.3878787878787879	0.3977272727272727
0.16755005889281507	0.20669191919191918	1	30	0.007402712067123993	0.004506709166054212	0.5600706713780919	0.5852272727272726	0.39252061248527675	0.37853535353535356	0.5609540636042403	0.5609540636042403	0.558303886925795	0.578030303030303	0.5818181818181818	0.5958333333333333	0.3957597173144876	0.3833922261484099	0.39840989399293286	0.3776515151515151	0.37272727272727274	0.38522727272727275
0.1846289752650177	0.21174242424242426	1	35	0.011335910809729169	0.0066978723282196395	0.5727326266195525	0.5958333333333333	0.3881036513545347	0.3840909090909091	0.5750883392226148	0.5574204946996466	0.5856890459363958	0.5969696969696969	0.5878787878787879	0.6026515151515152	0.4028268551236749	0.357773851590106	0.4037102473498233	0.39015151515151514	0.36666666666666664	0.39545454545454545
0.16666666666666666	0.20467171717171717	1	40	0.019783954101579335	0.005805335319481196	0.5712603062426385	0.6031565656565657	0.4045936395759717	0.3984848484848485	0.5565371024734982	0.5812720848056537	0.5759717314487632	0.6075757575757575	0.593939393939394	0.6079545454545454	0.40724381625441697	0.3869257950530035	0.4196113074204947	0.4071969696969697	0.38106060606060604	0.4071969696969697
0.251472320376914	0.47967171717171714	5	1	0.015238338083551935	0.010768655080919383	0.6322143698468787	0.7582070707070708	0.3807420494699647	0.2785353535353535	0.6298586572438163	0.6386925795053003	0.6280918727915195	0.7598484848484849	0.759469696969697	0.7553030303030303	0.3878091872791519	0.3657243816254417	0.38869257950530034	0.2946969696969697	0.26856060606060606	0.27234848484848484
